HEX CODE,Expanded HEX
#537,#553377
#538,#553388
#539,#553399
#53A,#5533AA
#53B,#5533BB
#53C,#5533CC
#53D,#5533DD
#53E,#5533EE
#53F,#5533FF
#540,#554400
#541,#554411
#542,#554422
#543,#554433
#544,#554444
#545,#554455
#546,#554466
#547,#554477
#548,#554488
#549,#554499
#54A,#5544AA
#54B,#5544BB
#54C,#5544CC
#54D,#5544DD
#54E,#5544EE
#54F,#5544FF
#550,#555500
#551,#555511
#552,#555522
#553,#555533
#554,#555544
#556,#555566
#557,#555577
#558,#555588
#559,#555599
#55A,#5555AA
#55B,#5555BB
#55C,#5555CC
#55D,#5555DD
#55E,#5555EE
#55F,#5555FF
#560,#556600
#561,#556611
#562,#556622
#563,#556633
#564,#556644
#565,#556655
#566,#556666
#567,#556677
#568,#556688
#569,#556699
#56A,#5566AA
#56B,#5566BB
#56C,#5566CC
#56D,#5566DD
#56E,#5566EE
#56F,#5566FF
#570,#557700
#571,#557711
#572,#557722
#573,#557733
#574,#557744
#575,#557755
#576,#557766
#577,#557777
#578,#557788
#579,#557799
#57A,#5577AA
#57B,#5577BB
#57C,#5577CC
#57D,#5577DD
#57E,#5577EE
#57F,#5577FF
#580,#558800
#581,#558811
#582,#558822
#583,#558833
#584,#558844
#585,#558855
#586,#558866
#587,#558877
#588,#558888
#589,#558899
#58A,#5588AA
#58B,#5588BB
#58C,#5588CC
#58D,#5588DD
#58E,#5588EE
#58F,#5588FF
#590,#559900
#591,#559911
#592,#559922
#593,#559933
#594,#559944
#595,#559955
#596,#559966
#597,#559977
#598,#559988
#599,#559999
#59A,#5599AA
#59B,#5599BB
#59C,#5599CC
#59D,#5599DD
#59E,#5599EE
#59F,#5599FF
#5A0,#55AA00
#5A1,#55AA11
#5A2,#55AA22
#5A3,#55AA33
#5A4,#55AA44
#5A5,#55AA55
#5A6,#55AA66
#5A7,#55AA77
#5A8,#55AA88
#5A9,#55AA99
#5AA,#55AAAA
#5AB,#55AABB
#5AC,#55AACC
#5AE,#55AAEE
#5AF,#55AAFF
#5B0,#55BB00
#5B1,#55BB11
#5B2,#55BB22
#5B3,#55BB33
#5B4,#55BB44
#5B5,#55BB55
#5B6,#55BB66
#5B7,#55BB77
#5B8,#55BB88
#5B9,#55BB99
#5BA,#55BBAA
#5BB,#55BBBB
#5BC,#55BBCC
#5BD,#55BBDD
#5BE,#55BBEE
#5BF,#55BBFF
#5C0,#55CC00
#5C1,#55CC11
#5C2,#55CC22
#5C3,#55CC33
#5C4,#55CC44
#5C5,#55CC55
#5C6,#55CC66
#5C7,#55CC77
#5C8,#55CC88
#5C9,#55CC99
#5CA,#55CCAA
#5CB,#55CCBB
#5CC,#55CCCC
#5CD,#55CCDD
#5CE,#55CCEE
#5CF,#55CCFF
#5D0,#55DD00
#5D1,#55DD11
#5D2,#55DD22
#5D3,#55DD33
#5D4,#55DD44
#5D5,#55DD55
#5D6,#55DD66
#5D7,#55DD77
#5D8,#55DD88
#5D9,#55DD99
#5DA,#55DDAA
#5DB,#55DDBB
#5DC,#55DDCC
#5DD,#55DDDD
#5DE,#55DDEE
#5DF,#55DDFF
#5E0,#55EE00
#5E1,#55EE11
#5E2,#55EE22
#5E3,#55EE33
#5E4,#55EE44
#5E5,#55EE55
#5E6,#55EE66
#5E7,#55EE77
#5E8,#55EE88
#5E9,#55EE99
#5EA,#55EEAA
#5EB,#55EEBB
#5EC,#55EECC
#5ED,#55EEDD
#5EE,#55EEEE
#5EF,#55EEFF
#5F0,#55FF00
#5F1,#55FF11
#5F2,#55FF22
#5F3,#55FF33
#5F4,#55FF44
#5F5,#55FF55
#5F6,#55FF66
#5F7,#55FF77
#5F8,#55FF88
#5F9,#55FF99
#5FA,#55FFAA
#5FB,#55FFBB
#5FC,#55FFCC
#5FE,#55FFEE
#5FF,#55FFFF
#601,#660011
#602,#660022
#603,#660033
#604,#660044
#605,#660055
#607,#660077
#608,#660088
#60A,#6600AA
#60B,#6600BB
#60C,#6600CC
#60D,#6600DD
#60E,#6600EE
#610,#661100
#611,#661111
#612,#661122
#613,#661133
#614,#661144
#615,#661155
#616,#661166
#617,#661177
#618,#661188
#619,#661199
#61A,#6611AA
#61B,#6611BB
#61C,#6611CC
#61D,#6611DD
#61E,#6611EE
#61F,#6611FF
#620,#662200
#621,#662211
#622,#662222
#623,#662233
#624,#662244
#625,#662255
#626,#662266
#627,#662277
#628,#662288
#629,#662299
#62A,#6622AA
#62B,#6622BB
#62C,#6622CC
#62D,#6622DD
#62E,#6622EE
#62F,#6622FF
#630,#663300
#631,#663311
#632,#663322
#633,#663333
#634,#663344
#635,#663355
#636,#663366
#637,#663377
#638,#663388
#63A,#6633AA
#63B,#6633BB
#63C,#6633CC
#63D,#6633DD
#63E,#6633EE
#63F,#6633FF
#640,#664400
#641,#664411
#642,#664422
#644,#664444
#645,#664455
#646,#664466
#647,#664477
#648,#664488
#649,#664499
#64A,#6644AA
